location,Followers,Hashtags,Username,Datetime,Text,Original,Unlemmatize
"Atlanta, GA",1111,['ApexLegends'],Radimorr,2022-12-29 15:08:35+00:00,"['young', 'og', ""can't"", 'hurt', 'me']",Letsss goooo,young og can't hurt me 
,13,,Bo68rD,2022-12-29 15:08:10+00:00,"['sandisk', 'gb', 'microsd', 'nintendo', 'switch', 'micro', 'sdxc', 'memory', 'card', 'switch', 'amp', 'switch', 'lite', 'sdsqxao', 'g', 'apex', 'legend', 'design', 'bundle', 'kkqzswz']",Young OG (Can't Hurt Me),sandisk gb microsd nintendo switch micro sdxc memory card switch amp switch lite sdsqxao g apex legends design bundle kkqzswz
,9,['PS4live'],ChahrazedSoumia,2022-12-29 15:08:09+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",SanDisk GB MicroSD Nintendo Switch Micro SDXC Memory Card for Switch &amp; Switch Lite SDSQXAO-128G Apex Legends Design Bundle KKQZSWZ,check broadcast playstation apex legends live
,11,,losmikessss,2022-12-29 15:06:59+00:00,"['probably', 'talking', 'apex', 'legend']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,probably talking apex legends
"Birmingham, England",1598,,IAmProj3ct,2022-12-29 15:05:28+00:00,"['who', 'said', 'this', 'who', 'lied', 'to', 'you']",Probably talking about apex legends,who said this who lied to you 
,88,"['apexlegends', 'fps', 'apex', 'shooter', 'battleroyale', 'ranked']",PieLand_Discord,2022-12-29 15:05:24+00:00,"['playing', 'lou']",Who said this? WHO LIED TO YOU?!?!?!,playing lou 
"Birmingham, England",1598,,IAmProj3ct,2022-12-29 15:02:22+00:00,"['we', 'must', 'pull', 'together']",Playing some with Lou!,we must pull together 
Neo Tokyo ,358,,kasonRyu3301,2022-12-29 15:01:36+00:00,['hack'],We. Must. Pull. TOGETHER!!!!,hacks 
"Birmingham, England",1598,,IAmProj3ct,2022-12-29 15:01:29+00:00,"['finally', 'actual', 'content', 'enjoy']",hacks???,finally actual content enjoy
South Asia,238,"['apexlegendsmobile', 'ApexLegends', 'gaming']",darksnest6,2022-12-29 15:00:31+00:00,"['live', 'till', 'dec', 'th', 'utc', 'pmrewards', 'underworld', 'coinsmission', 'complete', 'match', 'e', 'second', 'shotduration', 'utc', 'day']",Finally some ACTUAL content we would enjoy,live till dec th utc pmrewards underworld coinsmission complete match es second shotduration utc days 
"England, UK",169,"['streaming', 'twitch', 'apexlegends', 'destiny2', 'eldenring', 'GTARP', 'thecalistoprotocol', 'shooter', 'MMO', 'RPG', 'smallstreamer']",pYp3zZPlays,2022-12-29 15:00:02+00:00,"['i', 'live', 'everyone', 'welcome', 'i', 'want', 'hear', 'day', 'chilling', 'chatting', 'lt']",is LIVE till Dec th UTC :59pmRewards: Underworld CoinsMission: Complete match(es) in Second ShotDuration: /28 - /31/2022 (UTC0) (3 Days),i live everyone welcome i want hear day chilling chatting lt 
South Asia,238,"['apexlegendsmobile', 'ApexLegends', 'gaming']",darksnest6,2022-12-29 15:00:02+00:00,"['holiday', 'week', 'login', 'sweep', 'live', 'till', 'jan', 'utc', 'pmrewards', 'include', 'caustic', 'pose', 'banner', 'frame', 'frame', 'festival', 'gold', 'underworld', 'coin', 'amp', 'pack', 'piecestask', 'login', 'daysduration', 'utc', 'day']",I am LIVE! Everyone is welcome. I want to hear about your day! Chilling and chatting &lt;3,holiday week login sweep live till jan utc pmrewards include caustic pose banner frame frame festival gold underworld coins amp pack piecestask login daysduration utc days 
#1903位なら獲れた！！すごいだろ,84,,or_Rura0223,2022-12-29 14:59:40+00:00,"['apex', 'legend', 'live']","HOLIDAY WEEK LOGIN SWEEP live till Jan UTC :59pmRewards include: Caustic Pose, Banner Frame, Frame, Festival Gold, Underworld Coins &amp; Pack PiecesTask: Login for daysDuration: /28 - /05/2023 (UTC0) (8 Days)", apex legends live
Lazy Lake,117,"['ApexLegends', 'YouTuber', 'ContentCreator', 'Streamer', 'SophieesWorld']",YTSophiee_K,2022-12-29 14:59:36+00:00,"['apex', 'legend', 'time', 'solo', 'silver', 'ranked', 'mission', 'today', ""let's"", 'high', 'climb', 'live', 'come', 'join', 'fun']",(Apex Legends) live at,apex legends time solo silver ranked mission today let's high climb live come join fun 
,10,,NuzAnbu,2022-12-29 14:59:35+00:00,['goat'],APEX LEGENDS TIME! Solo Silver Ranked is our mission today! Let's see how high we can climb... Live now come and join the fun!,goat
Texas ,124,,bugleebugs,2022-12-29 14:58:39+00:00,"['your', 'favorite', 'game', 'ea', 'higher', 'ups', 'respawn', 'constantly', 'kick', 'dirt', 'at', 'sit', 'smile', 'cool', 'apex', 'potential', 'greatest', 'fps', 'gaming', 'history', 'constantly', 'fucked', 'shitty', 'corporate', 'decision']",goat,your favorite game ea higher ups respawn constantly kick dirt at sit smile cool apex potential greatest fps gaming history constantly fucked shitty corporate decisions
21 | LDN | 🌈✨,259,,eschayke,2022-12-29 14:57:17+00:00,"['coming', 'home', 'ive', 'played', 'ungodly', 'apex', 'legend', 'i', 'tell', 'i', 'missed', 'game', 'raise', 'blood', 'pressure']","Your favorite game that EA and higher ups at respawn constantly kick dirt at, and you rather sit there and smile as if everything is cool. Apex has potential to be the greatest fps in gaming history, but it constantly get fucked over by shitty corporate decisions",coming home ive played ungodly apex legends i tell i missed game raises blood pressure
,233,,RepG_Suspenser,2022-12-29 14:57:16+00:00,"['you', 'spelt', 'apex', 'legend', 'wrong']",since coming home Ive played an ungodly amount of apex legends and I tell you something I have missed how much this game raises my blood pressure,you spelt apex legends wrong
DYT,596,,ChubsDeluxe,2022-12-29 14:57:08+00:00,"['could', 'hot', 'drop', 'haha', 'im']",You spelt apex legends wrong,could hot drops haha im
206 💧,17,"['Gamer', 'Randoms', 'Season15', 'YouTube', 'ApexLegends']",TheGreat3H9P,2022-12-29 14:55:11+00:00,"['quick', 'game', 'work']",Could call it hot drops only haha Im here for it,quick game work 
F/25/Loba,1488,,isa_apexm,2022-12-29 14:54:21+00:00,"['ok', 'slept', 'time', 'apex', 'legend', 'mobile', 'grind']","Quick game before work : ,",ok slept time apex legends mobile grind 
Timezone Asia/Tokyo (GMT+9),266,"['ApexLegends', 'マップローテーション']",MapRotationBot,2022-12-29 14:53:41+00:00,"['currentlympus', 'next', ""world's"", 'edge']",Ok i slept. Time for apex legends mobile grind!!!,currentlympus next world's edge 
"Locust Grove, GA",195,['PS4live'],Mptoker,2022-12-29 14:53:17+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Currentlympus at :30-00:30Next:World's Edge at :30-01:30,check broadcast playstation apex legends live
in your closet,5152,,grimcessss,2022-12-29 14:53:11+00:00,"['saw', 'time', 'nvm']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,saw time nvm
,154,,GAME_introduce7,2022-12-29 14:52:28+00:00,"['apex', 'legend', 'video', 'postapex', 'legend', 'three', 'people', 'choose', 'different', 'legend', 'fight', 'pair', 'click', 'link', 'watch', 'now']","just saw the time, its am nvm",apex legends video postapex legends three people choose different legends fight pair click link watch now 
,104,"['gaming', 'streamer', 'contentcreator', 'twitch', 'gamer', 'Minecraft', 'ApexLegends', 'Duolingo']",NViking78,2022-12-29 14:51:58+00:00,"['live', 'now', 'apex', 'legend', 'grinding', 'duolingo', 'lesson', 'start', 'brand', 'new', 'minecraft', 'build', 'tonight', 'stream', 'northernviking', 'twitch']",Apex Legends Video PostApex Legends:Three people choose different legends and fight as a pair.click the link below to watch now:1:,live now apex legends grinding duolingo lessons start brand new minecraft builds tonight stream northernviking twitch
,1549,,nessiemommmy,2022-12-29 14:51:57+00:00,"['you', 'end', 'rationing']",Live Now!Apex Legends Grinding!Duolingo Lessons to Start!Brand New Minecraft Builds Tonight!Stream of ! northernviking78 with me on Twitch,you end rationing
日本 大阪,214,,mgryo2121,2022-12-29 14:51:19+00:00,"[""i'm"", 'streaming', 'twitch', 'playing', 'apex', 'legend']",You should end it off by rationing yourself,i'm streaming twitch playing apex legends
jared ♥️,2822,,GanjaQueenii,2022-12-29 14:50:54+00:00,"['youre', 'sweet']",I'm now streaming on Twitch! Playing Apex Legends,youre sweet
"New England, USA",649,"['Apex', 'Twitch', 'TwitchStreamer', 'RetweetTwitch']",EdgeworthianIRL,2022-12-29 14:50:54+00:00,"['come', 'check', 'streaming', 'legend', 'now', 'show', 'love']",Youre so sweet,come check streaming legends now show love
Cuban Blisk Minor Dungeon,2,"['apexlegends', 'respawn']",VantgeApexMinor,2022-12-29 14:50:27+00:00,"['die', 'cancer', 'apex', 'devs', 'useless', 'job']",Come check out streaming Legends on now! Show the love at,die cancer apex devs useless jobs
,714,"['twitchstreamer', 'twitchaffiliate']",ReverseFlash_TV,2022-12-29 14:49:49+00:00,"['official', 'streaming', 'schedule', 'rd', 'new', 'year', ""i'll"", 'tonight', 'apex', 'legend']",Die of cancer apex devs useless at your jobs,official streaming schedule rd new year i'll tonight apex legends
hypixel,232,,Deko__pad,2022-12-29 14:49:32+00:00,"[""i'm"", 'streaming', 'twitch', 'playing', 'apex', 'legend']",Official streaming schedule until the rd of the new year! I'll see you all tonight around :30 with some Apex legends,i'm streaming twitch playing apex legends
bz: KyleRoycePlays@Gmail.com,1304,['PLP'],KyleRoycePlays,2022-12-29 14:48:26+00:00,"['throat', 'scratchy', 'body', 'achey', 'boutta', 'ham', 'lobby', 'chat', 'choose', 'legend', 'apex', 'today']",I'm now streaming on Twitch! Playing Apex Legends,throat scratchy body achey boutta ham lobbies chat choose legend apex today
"Massachusetts, USA",213,"['ApexLegends', 'apexlegendsmobile']",LessThanGosh,2022-12-29 14:47:09+00:00,"['apex', 'legend', 'gosh', 'morning', 'like', 'red', 'bull', 'face']","throat scratchy, body achey, but boutta go ham in these lobbies chat choose my legend! apex today",apex legends gosh morning like red bull face 
,1494,['ApexLegends'],AyeVincenzoTv,2022-12-29 14:45:28+00:00,"['in', 'search', 'friendly', 'teammate', 'gold', 'right', 'struggling', 'people', 'mics', 'want', 'play', 'better']","Apex Legends: Gosh in the morning, like a red bull to the face! ://",in search friendly teammates gold right struggling people mics want play better 
Australia,157,,Jigsaw_225,2022-12-29 14:44:08+00:00,"['check', 'eng', 'nz', 'apex', 'legend', 'mobile']",In search of some Friendly teammates. Gold right now and struggling to find people with mics that want to play and get better.,check eng nz apex legends mobile
Australia,99,"['ApexLegends', 'APEX', 'apexstream', 'APEXmobile', 'STREAM', 'LiveStream', 'LiveStreaming', 'gamingcommunity', 'gaming', 'gamergirl', 'gamer', 'Streamer', 'streamergirl', 'Australia', 'SouthAfrica', 'australianstreamer', 'southafricanstreamer']",Jade_deBeer,2022-12-29 14:43:33+00:00,"['apex', 'live', 'stream', 'come', 'hang', 'out']",Check out | [ENG/NZ] Apex Legends Mobile,apex live stream come hang out 
bri ❥,393,,uDaxxii,2022-12-29 14:41:18+00:00,"['k', 'numpty']",Apex Live Stream! Come hang out!,k numpty
Use code Vall,2997,['ApexLegends'],VallTwitch,2022-12-29 14:40:50+00:00,"['my', 'experience', 'apex', 'legend']",k on my numpty,my experience apex legends
United States,92,"['xbox', 'csgo', 'youtuber', 'gamers', 'pc', 'Trovo', 'xboxone', 'ApexLegends', 'apexlegends', 'pcgamer', 'gaming', 'Logo', 'twitchstream', 'LiveStreaming', 'smallstreamer']",MilaGFX,2022-12-29 14:40:00+00:00,"['streaming', 'emotes', 'cool']",My experience with Apex Legends,streaming emotes cool
Canada,134,"['TwitchStreamer', 'Apex', 'LiveNow', 'ComeHangout', 'ApexLegends', 'Revenant', 'Streaming', 'PS4live']",RogueQueen96,2022-12-29 14:39:59+00:00,"[""let's"", 'play', 'ranked', 'live']",Streaming emotes are always cool,let's play ranked live
,81,,iamanonms,2022-12-29 14:39:20+00:00,"['it', 'mid', 'asf']",Let's Play Ranked | live at,its mid asf
,2571,,MirageBurner,2022-12-29 14:39:18+00:00,"['apex', 'legend', 'player', 'going', 'love', 'wordle', 'today']",Its mid asf,apex legends players going love wordle today
San Francisco ,23591,,Thordansmash,2022-12-29 14:38:46+00:00,"['this', 'best', 'thing', 'ive', 'seen', 'apex', 'legend', 'someone', 'man', 'job', 'respawn']",Apex legends players are going to love the wordle for today,this best things ive seen apex legends someone man job respawn 
フォロバ100パーセント,116,['PS4live'],rukai_1590,2022-12-29 14:38:37+00:00,"['apex', 'legend', 'live']",This has to be one of best things Ive seen made for Apex Legends. Someone get this man a job at Respawn., apex legends live
,77,"['controllergang', 'controllermovement', 'aggrorc', 'teamaggro', 'apexlegends', 'apexlegendsgameplay', 'apexlegendsclips', 'apexlegends']",CheongNathab,2022-12-29 14:36:15+00:00,"['new', 'video', 'upload']",(Apex Legends) live at,new video upload
,67,"['twitchclips', 'apexlegends', 'SmallStreamerConnect', 'sniperclip', 'ranked', 'rollergang']",AllProof_TTV,2022-12-29 14:35:49+00:00,"['sentinel', 'chilly', 'early', 'game', 'live', 'friday', 'ranked', 'gameplay', 'the', 'master', 'push', 'continuestwitch', 'tv', 'allproof']",new video upload,sentinel chilly early game live friday ranked gameplay the masters push continuestwitch tv allproof
Black Mesa Research Facility,3,,ValveFacts,2022-12-29 14:34:59+00:00,"['titanfall', 'amp', 'apex', 'legend', 'run', 'modified', 'version', 'source', 'engine', 'despite', 'engine', 'decade', 'old', 'respawn', 'entertainment', 'chose', 'build', 'titanfall', 'amp', 'apex', 'source', 'engine', 'early', 'production', 'cycle', 'developer', 'familiarity', 'engine']",Sentinel is CHILLY early game. me live again on Friday for some more ranked gameplay. The masters push continuestwitch . tv / allproof,titanfall amp apex legends runs modified version source engine despite engine decades old respawn entertainment chose build titanfall amp apex source engine early production cycle developers familiarity engine 
"Indianapolis, IN",91,,l33t0wn34,2022-12-29 14:34:26+00:00,"['damage', 'fucking', 'nut', 'how', 'teammate', 'if', 'i', 'damage', 'i', 'like', 'kill']","Titanfall &amp; Apex Legends runs on a modified version of the Source Engine. Despite the engine being almost decades old, Respawn Entertainment chose to build Titanfall &amp; Apex on the Source Engine early in their production cycle due to their developers familiarity with the engine.",damage fucking nuts how teammate if i damage i like kills
,42,['ApexLegends'],DamnAlva,2022-12-29 14:33:34+00:00,"['leveling', 'wraith', 'skin']",with damage is fucking nuts. How did your teammate do and get . If I do damage I get like kills,leveling wraith skin 
うどん県のどっかのパチ屋,1959,,youunyouun,2022-12-29 14:33:31+00:00,"[""i'm"", 'streaming', 'twitch', 'playing', 'apex', 'legend']",Leveling up the Wraith Skin.,i'm streaming twitch playing apex legends
,218,['PS4live'],ni__jnt_je,2022-12-29 14:33:23+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",I'm now streaming on Twitch! Playing Apex Legends,check broadcast playstation apex legends live
A,988,,GUGUREKASU_nfsw,2022-12-29 14:31:25+00:00,"[""i'm"", 'streaming', 'twitch', 'playing', 'apex', 'legend', 'mobile']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,i'm streaming twitch playing apex legends mobile
Paradis Island,138,,taylorgngOd,2022-12-29 14:31:22+00:00,['goat'],I'm now streaming on Twitch! Playing Apex Legends Mobile,goats 
,10,,JoyDelinquent,2022-12-29 14:31:15+00:00,"[""i'm"", 'everyone', 'overwatch', 'apex', 'legend', 'maybe', 'game', 'minute']",my goats!!,i'm everyone overwatch apex legends maybe game minutes 
,11,['ApexLegends'],Alaric132,2022-12-29 14:31:10+00:00,"[""what's"", 'thing', 'dont', 'like']","I'm back everyone! Overwatch , Apex Legends, and maybe another game, in minutes!",what's thing dont like
,110,"['twitchstreaming', 'ApexLegends', 'موسم_القيمرز', 'anime', 'pcgaming', 'gaming', 'gamer', 'gaming', 'gamers', 'funnygaming']",HybtKing,2022-12-29 14:29:53+00:00,"['welcome', 'live', 'broadcast']",What's the one thing you dont like about, welcome live broadcast 
,342,"['valorant', 'apexlegends', 'yoruvalorant', 'mirageapexlegends']",oredcchi,2022-12-29 14:27:39+00:00,"['decoy', 'boy', 'mission']",:// Welcome to the live broadcast!!!,decoy boys mission
,286,,iibonedaddy,2022-12-29 14:27:23+00:00,"['ridiculous', 'apex', 'legend']",Decoy boys on a mission,ridiculous apex legends
,0,,SergeT35275748,2022-12-29 14:26:53+00:00,"['bought', 'apex', 'legend', 'wraith', 'apex', 'legend', 'stand', 'trash', 'box', 'can', 'order', 'stand']",and a ridiculous amount of apex legends,bought apex legends wraith apex legends stand trash box can order stand 
推し様🎧💙 ✴︎   🌷   🍩   🍒 🤍✝,682,['PS4live'],TixxnV,2022-12-29 14:26:47+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']","i have bought apex legends ""wraith""(apex legends ) but i had not see there was a stand and i trash the box.. Can i ""order"" only the stand?",check broadcast playstation apex legends live
,94,,GamingUpdates95,2022-12-29 14:25:46+00:00,"['apex', 'legend', 'mobile']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,apex legends mobile
Accra ,1796,,drayeday,2022-12-29 14:25:21+00:00,"['i', 'need', 'ghanaian', 'player', 'apex', 'legend']",Apex Legends Mobile always,i need ghanaian players apex legends
,1888,,no_viewers,2022-12-29 14:24:49+00:00,"['piffgoddess', 'streaming', 'apex', 'legend', 'minute', ""one's"", 'watching', 'them', 'hi', 'day', 'tag', 'favourite', 'apex', 'legend', 'streamer']",I need Ghanaian players for apex legends,piffgoddess streaming apex legends minutes one's watching them hi day tag favourite apex legends streamer 
Timezone Asia/Tokyo (GMT+9),266,"['ApexLegends', 'マップローテーション']",MapRotationBot,2022-12-29 14:23:42+00:00,"['current', 'broken', 'moon', 'nextlympus']","piffgoddess420 has been streaming Apex Legends for minutes and no one's watching them, go say hi and make their day . Tag your favourite Apex Legends streamer.",current broken moon nextlympus 
im the lucash,119,,lucashbackup,2022-12-29 14:22:38+00:00,"['god', 'broke', 'console', 'playing', 'apex', 'legend']",Current:Broken Moon at :30-23:30Nextlympus at :30-00:30,god broke console playing apex legends 
,618,,youtube_Maeken,2022-12-29 14:22:18+00:00,"[""i'm"", 'streaming', 'twitch', 'playing', 'apex', 'legend']",God broke their console playing Apex Legends!,i'm streaming twitch playing apex legends
,432,,ID_VOIID,2022-12-29 14:20:52+00:00,"['grab', 'great', 'choice']",I'm now streaming on Twitch! Playing Apex Legends,grab great choice
,885,,ridethedrgn,2022-12-29 14:20:49+00:00,"['bro', 'play', 'apex', 'legend', 'think', 'input', 'mean']","grab , great choice",bro plays apex legends thinks input means
,5,"['apexlegends', 'respawn']",SaggieMaggie12,2022-12-29 14:20:02+00:00,"['die', 'cancer', 'stupid', 'bastard', 'apex', 'devs', ""can't"", 'footstep', 'audio', 'right', 'useless', 'cunt']",bro plays apex legends and thinks his input means something,die cancer stupid bastard apex devs can't footstep audio right useless cunts
,85,"['Apex', 'ApexLegends']",Phase_FPS,2022-12-29 14:19:38+00:00,"['imagine', 'portal', 'camping', 'getting', 'wiped', 'lmao']",Die of cancer stupid bastard apex devs can't even get footstep audio right useless cunts,imagine portal camping getting wiped lmao
Neo Cydonia,350,,adamazing,2022-12-29 14:18:28+00:00,"['that', 'gif', 'posted', 'gibraltar', 'loading', 'screen', 'transition', 'apex', 'legend', 'also', 'matt', 'damon', 'us', 'devotion', 'it', 'awesome']",Imagine portal camping and getting wiped lmao,that gif posted gibraltar loading screen transition apex legends also matt damon uses devotion its awesome 
,460,"['APEX', 'APEXLegends', 'YouTube', 'YouTubeLive', 'イラスト']",ANDY_GAMES_,2022-12-29 14:17:43+00:00,['illustration'],"That gif you posted is a Gibraltar loading screen (Transition) from Apex Legends.Also, Matt Damon uses a Devotion.Its all awesome.",illustration
MAH HOUSE,522,['ApexLegends'],ParadoxMedic,2022-12-29 14:17:28+00:00,"['yeah', 'umm', 'yeah', 'idfk', 'lmao']",illustration by,yeah umm yeah idfk lmao
,408,,EpicColt,2022-12-29 14:16:32+00:00,"['let', 'gooooooo', 'ill']",yeah umm... yeah idfk lmao,lets gooooooo ill
,459,['PS4live'],jiropexxx,2022-12-29 14:14:54+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Lets Gooooooo. Ill be there,check broadcast playstation apex legends live
BROKEN MOON,16,['ApexLegends'],apex_Voiceline,2022-12-29 14:14:14+00:00,"['mirage', 'i', 'proud', 'myself']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,mirage i proud myself 
Blender,6381,,RenderedBread,2022-12-29 14:14:01+00:00,"['my', 'apex', 'legend', 'summarized']",Mirage:I am so proud of myself.,my apex legends summarized
Somewhere in a tree,237,,MichioHirabaya1,2022-12-29 14:12:36+00:00,"['gracias', 'tag', 'my', 'obsession', 'ima', 'animalscoffee', 'wineapex', 'legendsanimehitting', 'gymyour', 'turn']",My interest in Apex Legends summarized,gracias tag my obsessions ima animalscoffee wineapex legendsanimehitting gymyour turn 
worcester,160,,chOwOry,2022-12-29 14:12:29+00:00,"['bloons', 'apex', 'legend', 'carried', 'year']",Gracias for the tag!My Obsessions(ima do )AnimalsCoffee and wineApex LegendsAnimeHitting the GymYour turn:,bloons apex legends carried year
"New York, USA",293,"['ApexLegends', 'COD', 'CallofDutyModernWarfare2', 'APEX', 'ApexMobile', 'ContentCreator', 'content', 'twitch', 'tiktok', 'YouTube', 'youtubeshorts', 'Warzone2', 'Warzone2募集']",Overlooked_Ent,2022-12-29 14:09:44+00:00,"['okay', ""can't"", 'contain', 'announcement', 'new', 'member', 'today', ""who's"", 'gonna']",bloons and apex legends carried this year,okay can't contain announcements new members today who's gonna
"Gilbert, AZ",89,"['ApexLegends', 'apexlegendsmobile', 'ApexMobile']",10_camacho10,2022-12-29 14:09:37+00:00,"['im', 'slide', 'canceling', 'fiend', 'i', 'hold', 'pretty', 'well']",Okay we can't contain ourselves announcements for new members today! Who's it gonna be,im slide canceling fiend i hold pretty well 
,25,['ApexLegends'],wabakapex,2022-12-29 14:07:35+00:00,"['aim', 'assist', ""isn't"", 'strong']",Im not a slide canceling fiend but I can hold my own pretty well., aim assist isn't strong 
"Fitchburg, MA",168,"['ApexLegends', 'TwitchAffilate', 'twitchlive', 'twitch', 'SupportSmallStreamers', 'SupportSmallStreams', 'smallstreamer', 'followme']",GlenCantone,2022-12-29 14:06:09+00:00,"['thirsty', 'thursday', 'type', 'day', 'gonna', 'great', 'new', 'year']","""Aim assist isn't that strong""",thirsty thursday type day gonna great new year 
,11,,Alaric132,2022-12-29 14:05:57+00:00,"['drop', 'best', 'skin', 'right', 'apex', 'legend']",Thirsty Thursday type DAY gonna be a great New Year!!.....**(18+),drop best skin right apex legends
,0,"['PlayStationTrophy', 'PS5Share', 'ApexLegends']",like_cocos,2022-12-29 14:05:10+00:00,"['apex', 'legendskill', 'leader', 'bronze']",Drop the best skin you have right now in apex legends,apex legendskill leader bronze 
"Quebec, Canada",693,['ApexLegends'],ItsJustJonny_,2022-12-29 14:04:42+00:00,"['after', 'week', 'horizon', 'i', 'got', 'k']","Apex LegendsKill Leader (BRONZE) ,",after week horizon i got k
,0,['ApexLegends'],MrRoHit1112,2022-12-29 14:04:31+00:00,"['gameplay', 'youtube', 'channel']",After a week of using horizon I got my k,gameplay youtube channel
胸なら強い意志と行動力で揉める,1355,,rei_8901,2022-12-29 14:04:08+00:00,"[""it's"", 'pistol', 'called', 'wingman', 'game', 'apex', 'legend']",gameplay on youtube channel,it's pistol called wingman game apex legends 
,0,,Victorekip,2022-12-29 14:03:22+00:00,"['first', 'fix', 'matchmaking', 'arena', 'got', 'lvls', 'diax', 'lobby', 'stupid']","It's a pistol called wingman, a game of Apex legends.",first fix matchmaking arenas got lvls diax lobby stupid
"Toronto, Ontario",94,,steakwhistleTV,2022-12-29 14:02:34+00:00,"['ok', 'dude', 'sound', 'stressed', 'maybe', 'switch', 'server', 'instead']",First fix the matchmaking on arenas i Got lvls on diax lobby stupid,ok dude sound stressed maybe switch server instead
"New York, NY",1213,,cadaver_x,2022-12-29 14:01:44+00:00,"['bro', 'whoa']",you doing ok dude? you sound stressed. maybe switch your server to off instead,bro whoa
"Ontario, CA",130,,vicioushouls_,2022-12-29 14:01:21+00:00,"[""i'm"", 'interested']",bro. just whoa,i'm interested
,36,,VikingWadey,2022-12-29 14:01:19+00:00,"['unless', 'v', 'apex', 'console', 'consistently', 'place', 'solo', 'player', 'game', 'eu', 'server', 'toxic', ""it's"", 'like', 'playing', 'random', 'bot', 'game', 'sense', 'bring', 'solo', 'mode', 'casual', 'solo', 'player']",I'm interested,unless v apex console consistently place solo players game eu servers toxic it's like playing random bots game sense bring solo mode casual solo players
between your legs,73,,Syncinnatii,2022-12-29 13:59:41+00:00,"['genshin', 'impact', 'cod', 'lol', 'wild', 'rift', 'clash', 'royale', 'apex', 'legend', 'war', 'robot', 'multiplayer', 'mario', 'kart', 'tour']","Unless you can v3 on apex console consistently, there is no place for solo players on this game, EU servers are so toxic it's like playing with random bots , no game sense at all bring out solo mode for us casual solo players",genshin impact cod lol wild rift clash royale apex legends war robots multiplayer mario kart tour
,7,,AshApexWattson,2022-12-29 13:59:19+00:00,"['can', 'horizon', 'x', 'ash', 'interstellar', 'movie', 'poster', 'style']","Genshin impact, CoD, LoL wild rift, Clash Royale, Apex Legends, War Robots Multiplayer, Mario Kart Tour",can horizon x ash interstellar movie poster style
United Kingdom,73,['Apexlegends'],PhilF_J_Fry,2022-12-29 13:58:41+00:00,"['rid', 'knock', 'shield', 'they', 'jack', 'shit', 'half', 'time']",Can you do Horizon X Ash...interstellar movie poster style, rid knock shields they jack shit half time 
United Arab Emirates,150,"['emotes', 'twitch', 'stream', 'twitchstreamers', 'twitch', 'vtuber', 'twitchde', 'twitchtv', 'fortnite', 'streaming', 'apexlegends']",lianamike_SG,2022-12-29 13:58:10+00:00,"['here', 'high', 'quality', 'available', 'awesome', 'hmu', 'detail']",- just get rid of knock down shields. They do jack shit half the time.,here high quality available awesome hmu details
,3751,,HarunaSwift,2022-12-29 13:57:28+00:00,"['aha', 'hey']",Here is a High Quality of are available for to make awesome then HMU with details,aha hey
United kingdom ,61,"['ApexLegends', 'XboxShare']",CYB3R_CHAOS,2022-12-29 13:57:25+00:00,"['o', 'think', 'im', 'gonna', 'rock', 'fusey']",aha hey,o think im gonna rock fusey
"Australia, Melbourne ",24377,,BirnoOCE,2022-12-29 13:56:39+00:00,"['fun', 'funny', 'thing', 'related', 'apex', 'month']",O i think im now gonna rock some more Fusey,fun funny thing related apex months 
"Manchester, England",493,"['overlays', 'twitch', 'stream', 'twitchstreamers', 'twitch', 'vtuber', 'twitchde', 'twitchtv', 'fortnite', 'streaming', 'apexlegends']",Rachel_Huda,2022-12-29 13:56:29+00:00,"['here', 'high', 'quality', 'available', 'awesome', 'hmu', 'detail']",would be the most fun/funny thing related to apex they have done in months!,here high quality available awesome hmu details
𝟲.𝟱 ʟɪɴᴇᴀʀ,78,['PS4live'],I3Nq7,2022-12-29 13:55:21+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Here is a High Quality of are available for to make awesome then HMU with details,check broadcast playstation apex legends live
"Boston, MA",2631,,APEX_COMPS,2022-12-29 13:52:48+00:00,"['you', 'got']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,you got
Norway,289,,Sapphire_Sally,2022-12-29 13:52:36+00:00,"['ratio', 'deez', 'nut']",You got this,ratio deez nuts
,154,,GAME_introduce7,2022-12-29 13:52:29+00:00,"['apex', 'legend', 'video', 'postapex', 'legend', 'three', 'people', 'choose', 'different', 'legend', 'fight', 'pair', 'click', 'link', 'watch', 'now']",ratio deez nuts,apex legends video postapex legends three people choose different legends fight pair click link watch now 
